issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
0120-9957,2518-7880,0120-9957,gastroenterologia hepatologia medicina clinica ciencias medicas salud c,gastroenterology q4 medicine colombiana gastroenterologia liver disease peptic ulcer intestinal pathology treatment gastrointestinal diseases tract internal specialties digestive system,8,19,500.0,EUR,540.0,1.08,1421.05,declarado,True
0121-5612,1900-6004,0121-5612,ciencias politicas sociales a1,law q4 social sciences political science relations general,4,8,2140.37,EUR,2311.6,1.08,6083.16,observado,True
0121-215X,2256-5442,0121-215X,geociencias multidisciplinario ciencias tierra medioambientales naturales b,geography planning development q3 earth planetary sciences miscellaneous q4 environmental science social,7,12,416.0,EUR,449.28,1.08,1182.32,observado,True
0121-3814,2602-408X,0121-3814,educacion general incluye capacitacion pedagogia ciencias sociales c,tea tecne episteme didaxis islamic culture archaeology history art turkish literature music fine arts general,8,15,2972.0,EUR,3209.76,1.08,8446.74,observado,True
0121-8123,2027-9000,0121-8123,otros temas medicina clinica ciencias medicas salud c,internal medicine q3 pharmaceutical science rehabilitation immunology allergy q4 rheumatology pharmacology toxicology pharmaceutics colombiana reumatologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,8,28,150.0,EUR,162.0,1.08,426.32,declarado,True
0120-0739,2256-201X,0120-0739,forestal agricultura silvicultura pesca ciencias agricolas b colombia agriculture forestry,forestry q3 nature landscape conservation soil science q4 agricultural biological sciences environmental silviculture forest ecology biodiversity health,10,17,1999.2,EUR,2159.14,1.08,5681.95,observado,True
0120-3932,,0120-3932,economia negocios ciencias sociales c,management economics education accounting social sciences economic theory demography as science,5,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0012-7353,2346-2183,0012-7353,ingenieria civil tecnologia b,engineering miscellaneous q4 technology mining metallurgy,4,6,1657.98,EUR,1790.62,1.08,4712.16,observado,True
2011-2173,1657-0448,2011-2173,otras ciencias agricolas b colombiana horticolas,dermatology q4 surgery medicine,6,4,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0120-6346,2248-4345,0120-6346,economia negocios ciencias sociales c,economics regional development laboral market finance poverty social sciences economic theory demography as science,5,14,1828.49,EUR,1974.77,1.08,5196.76,observado,True
