issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2027-8047,2715-9256,2027-8047,ciencias salud medicas c una sapuvet publica jurnal pemikiran administrasi negara,public administration policy bureaucracy service governance local government political science institutions asia asian only,11,14,2390.0,EUR,2581.2,1.08,6792.63,observado,True
0123-2592,2244-7490,0123-2592,otras ciencias sociales c dialectica education pedagogy teaching learning inclusion tic general,,12,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1657-7663,0719-367X,1657-7663,ciencias computacion informacion naturales c,,5,0,2640.0,EUR,2851.2,1.08,7503.16,observado,True
2145-1389,2463-1140,2145-1389,otras ciencias sociales c signos investigacion sistemas gestion administration enviroment sustanability business quality management,social sciences commerce business,14,4,,,,,,,False
0120-1363,1970-7452,0120-1363,otras humanidades c,,3,0,,,,,,,False
1900-1355,2362-2075,1900-1355,ingenieria produccion otras ingenierias tecnologias tecnologia c clepsidra interdisciplinaria estudios sobre memoria,history comunication sociology anthropology social sciences conditions problems reform,12,9,,,,,,,False
1909-9051,3005-5857,1909-9051,otras ingenierias tecnologias ingenieria tecnologia c,natural sciences social health mathematical logic information tecnology agriculture,6,9,,,,,,,False
1794-8614,2371-3771,1794-8614,arte humanidades c,artista artist art arts based creation community transdisciplinary fine general,3,10,,,,,,,False
1657-2416,,1657-2416,otras ciencias sociales c,,4,0,,,,,,,False
0122-011X,2215-4744,0122-011X,idiomas literatura humanidades c teoria historia critica history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,28,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1692-8857,2011-7477,1692-8857,filosofia otras humanidades b,philosophy q3 arts humanities,4,4,,,,,,,False
0121-3261,2011-7574,0121-3261,otras humanidades a2,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine equity culture inclusion populations social development human sciences,3,23,,,,,,,False
1900-5121,2751-2614,1900-5121,salud publica ciencias medicas c tipica electronico escolar,energy environment biomedicine artificial intelligence electronic information storage conversion science physics technology,8,12,3200.0,USD,3200.0,1.0,8421.05,declarado,True
