"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"2145-9444",,"2145-9444","Zona Proxima","2022","B","Colombia","Caribe","Atlántico","08001","Barranquilla","5C","No registra","Ciencias de la Educación","Ciencias Sociales","484","FUNDACION UNIVERSIDAD DEL NORTE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","882"
"0124-0579",,,"Estudios Socio-Jurídicos","2015","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5E01","Derecho","Derecho","Ciencias Sociales","666","COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","297"
"0120-8454","2145-9169",,"Análisis","2016","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E02","Filosofía","Otras Humanidades","Humanidades","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","710"
"1692-7389",,,"Ingenierias & Amazonia","2015","C","Colombia","Centro Sur","Caquetá","18001","Florencia","2K03","Ingeniería de Producción","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","906","UNIVERSIDAD DE LA AMAZONIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","566"
"1794-631X","2500-5782",,"Revista De Investigaciones","2007","C","Colombia","Eje Cafetero","Quindío","63001","Armenia","1G01","Otras Ciencias Naturales","Otras Ciencias Naturales","Ciencias Naturales","477","UNIVERSIDAD DEL QUINDIO","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","247"
"2145-6445",,,"Revista Latinoamericana De Estudios De Familia","2014","B","Colombia","Eje Cafetero","Caldas","17001","Manizales","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","544","UNIVERSIDAD DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","907"
"1794-3159",,,"Poliantea","2016","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5H","No registra","Periodismo y Comunicaciones","Ciencias Sociales","449","INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","147"
"1900-1592",,,"Conservacion Colombiana","2021","C","No disponible","No disponible","No disponible",,"No disponible","00","No registra","No registra","No registra",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","744"
"0122-5383","2382-4581",,"Ct&F Ciencia, Tecnología Y Futuro","2016","A1","Colombia","Centro Oriente","Santander","68547","Piedecuesta","2D02","Ingeniería de Procesos","Ingeniería Química","Ingeniería y Tecnología","962","ECOPETROL S A","Empresas","Grande","Mixto","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","284"
"0120-5633",,"2357-3260","Revista Colombiana De Cardiología","2022","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3C","No registra","Ciencias de la Salud","Ciencias Médicas y de la Salud","4,280","SOCIEDAD COLOMBIANA DE CARDIOLOGIA Y CIRUGIA CARDIOVASCULAR","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","457"
